Year,Anime_Name,Rank,Score
2012,玛丽莫之花~最强武斗派小学生传说~,7906,4.4
2012,生化危机 诅咒,3042,6.9
2014,尽管如此世界依然美丽,4807,6.5
2012,我叫MT 第六季,3623,6.7
2013,石田和朝仓,6224,6.2
2015,电影 High☆Speed! -Free! Starting Days-,3565,6.7
2012,侠猪布塔,7315,5.6
2013,第八届东方M-1漫才大赛,1190,7.5
2011,陰湿オタクにイカれる妹（彼女）,7296,5.4
2014,白箱,17,8.7
2011,30岁的保健体育,5377,6.4
2012,新网球王子,6294,6.2
2013,kira☆kira 5周年纪念动画,4512,6.4
2013,剧场版 魔法少女小圆 [新篇] 叛逆的物语,39,8.5
2014,REPLY 滨虎,7390,5.9
2014,属性同好会 OAD,3788,6.7
2015,天使的心跳！地狱厨房,4871,6.5
2013,神奇阿呦,5088,6.3
2013,听爸爸的话！OAD,3943,6.7
2015,恐怖！僵尸猫,6122,5.8
2013,剧场版 精灵宝可梦 超级愿望 神速的盖诺赛克特 超梦觉醒,6818,6.0
2015,昭和元禄落语心中 OAD,755,7.6
2014,笑对阴天,6178,6.2
2014,刀剑神域 第二季,3268,6.8
2015,动画锻炼！EX,5711,6.3
2013,公共便所,7261,5.7
2015,剧场版 约会大作战 万由里裁决,6843,6.1
2015,瑞克和莫蒂 第二季,61,8.5
2011,TSF物语,6890,6.0
2014,秦时明月大电影之龙腾万里,8182,5.3
2014,姉弟のカンケイ,2795,6.9
2014,一年级大个子二年级小个子,5777,6.2
2012,鲁邦三世 Master File,2563,6.9
2014,告白实行委员会 告白预演,5309,6.4
2014,偶像活动 剧场版,2320,7.0
2014,少女与战车 这次是真正的安齐奥战！,1121,7.4
2015,一拳超人 OAD,3051,6.9
2015,创圣的大天使LOGOS,8491,5.0
2012,绝园的暴风雨,2041,7.1
2016,飞翔的魔女,797,7.5
2012,魔角侦探之大三角计划,1024,7.5
2010,侦探歌剧 少女福尔摩斯,2324,7.0
2013,绝顶火箭,7651,5.3
2011,森田同学很沉默,4881,6.5
2010,猪猪侠之积木世界的童话,6013,6.0
2012,猫物语（黑）,537,7.7
2015,干物妹！小埋 OAD,4408,6.6
2012,少女爱上姐姐 2人的Elder THE ANIMATION,4656,6.5
2014,艾斯卡与罗吉的工作室～黄昏之空的炼金术士～,6612,6.1
2016,第十一届东方M-1漫才大赛,1429,7.4
2013,蜡笔小新 超级美味B级美食大逃亡,2617,7.0
2010,江户盗贼团五叶,650,7.6
2010,四叠半神话大系,33,8.6
2010,强袭魔女2,1650,7.2
2011,JKと淫行教師4,7894,5.5
2011,Bloods～淫落的血族2～,5872,6.3
2014,一周的朋友。,1906,7.2
2010,喜羊羊与灰太狼之虎虎生威,6562,6.1
2012,钓球,1496,7.3
2012,华丽一族,6823,5.6
2011,探险活宝 第三季,533,7.9
2013,武战道,3457,6.7
2010,我爱你,3084,6.9
2010,羊羊快乐的一年,7082,5.4
2010,怪物王女 OAD,5234,6.3
2010,酵母君与鸡蛋公主,4000,6.4
2010,女皇之刃 美丽女斗士们,4554,6.5
2010,超元气三姐妹,1182,7.4
2011,穿靴子的猫,2905,6.9
2011,UN-GO episode: 0 因果论,1817,7.2
2010,无法逃离的背叛,7742,5.7
2011,电波女与青春男,2281,7.1
2013,魔法禁书目录 恩底弥翁的奇迹,5617,6.4
2015,汽车人总动员,8877,1.3
2014,游戏人生,581,7.7
2013,齐木楠雄的灾难,2133,7.1
2015,出包王女Darkness 第二季,1337,7.3
2013,起风了,641,7.6
2011,雾谷伯爵家的六姐妹,6477,6.1
2016,吹响！悠风号 第二季,52,8.5
2015,くりぃみぃパイ,8113,5.1
2011,银魂',20,8.7
2011,玉响～hitotose～,1109,7.4
2012,爆漫王。3,108,8.3
2012,散华礼弥 OAD,4183,6.6
2015,全部成为F THE PERFECT INSIDER,2660,7.0
2014,魁拔妖侠传,4162,6.6
2012,竖笛与双肩书包,5248,6.4
2015,学战都市 六芒星,7491,5.9
2012,森田同学很沉默 OAD,5675,6.2
2015,排球少年剧场版 结束与开始,1880,7.2
2014,天真无邪的乐园,7789,5.6
2013,若菜小姐的秘密,8072,5.0
2013,摸索吧！部活剧,1568,7.3
2011,黄金狗剩,4201,6.3
