Year,Anime_Name,Rank,Score
2012,怪诞小镇 第一季,291,7.9
2012,哆啦A梦：大雄与奇跡之岛~动物历险记~,4917,6.4
2014,超有病 勇者传说,5114,6.3
2013,Love Live!,1893,7.2
2014,薄樱鬼 第二章 士魂苍穹,3952,6.6
2014,天行九歌之空山鸟语,2488,7.0
2012,神圣骑士,8248,5.1
2014,Free!-Eternal Summer-,3551,6.8
2012,实乃里Scramble!,6034,5.9
2013,中二病也要谈恋爱！剧场版 小鸟游六花・改,4252,6.6
2014,伪恋 OAD,3035,6.9
2015,魔兽净化少女Utea,5911,6.2
2015,摇曳百合 夏日时光！+,1035,7.4
2011,金刚狼,7697,5.1
2014,魔法少女接吻后会变身,8494,4.2
2013,钢铁的复仇,7033,5.3
2015,SHOW BY ROCK!!,3736,6.7
2011,白兔糖,236,8.0
2015,蜡笔小新 我的搬家物语 仙人掌大袭击,5151,6.4
2015,侦探歌剧 少女福尔摩斯 TD,6454,6.1
2011,赛尔号大电影：寻找凤凰神兽,8219,4.6
2015,樱桃小丸子：来自意大利的少年,3275,6.6
2012,只有神知道的世界 天理篇,2272,7.1
2014,BUDDY COMPLEX,5549,6.4
2010,意外的幸运签,1393,7.3
2012,竖笛与双肩书包 2♪,4440,6.6
2012,青之驱魔师 剧场版,2713,6.9
2013,三人行必有我妹 OVA,7458,5.8
2010,遥远时空中3 无尽的命运,6828,5.6
2014,太空丹迪,249,8.0
2014,受胎岛,7266,5.8
2012,中二病也要谈恋爱！,1219,7.4
2015,好朋友,4695,6.2
2011,装甲骑兵 孤影再临,2034,7.1
2011,功夫料理娘,2590,7.0
2013,银魂剧场版 完结篇 万事屋永不落,328,7.9
2010,迷糊餐厅,823,7.5
2012,伏 铁炮娘的捕物帐,5448,6.3
2010,明菜と温泉でHしよっ,6246,5.9
2014,第九届东方M-1漫才大赛,1510,7.4
2013,两个人是少女福尔摩斯,8433,5.1
2013,悠悠式,2772,6.9
2013,魔法少女STAR花音100%,6047,6.2
2014,妖怪名单,6032,6.2
2015,玉响～毕业写真～,344,7.9
2010,破刃之剑 第四章 惨祸之地,2069,7.1
2016,怪盗Joker3,1758,7.3
2014,钻石王牌 OAD,2039,7.1
2010,滑头鬼之孙,3517,6.8
2015,终结的炽天使 名古屋决战篇,7887,5.7
2010,迷失之物,2665,6.9
2011,破刃之剑 第六章 恸哭之寨,3219,6.8
2010,银魂剧场版 新译红樱篇,390,7.8
2012,艾特熊和赛娜鼠,833,7.7
2012,恋研！~我们变成动画啦！~,7795,5.3
2013,赛尔号大电影3：战神联盟,7864,4.8
2015,雏蜂,8666,4.8
2010,妖精的尾巴 总集篇,4278,6.5
2010,Z计划,8278,4.7
2014,いただきっ!セーエキ,6956,5.9
2013,进击的巨人 Q版剧场 飞起来！训练兵团,5378,6.4
2015,異国なレトロ,8348,4.9
2016,锁链战记～赫克瑟塔斯之光～ 第1章,6226,6.0
2011,露蒂的玩具,6173,6.2
2011,美食的俘虏,4474,6.6
2011,Xi AVANT,5165,6.3
2013,血意少年,3705,6.7
2015,那年那兔那些事儿,7617,5.8
2016,Re：从零开始的异世界生活,1099,7.4
2011,BLOOD-C,7097,6.0
2010,龙珠：超级赛亚人灭绝计划,4889,6.2
2014,乐园追放 -Expelled From Paradise-,880,7.5
2012,穷神,1768,7.2
2013,哆啦A梦：大雄的秘密道具博物馆,2469,7.0
2014,少年好莱坞,6471,5.9
2014,艶美,8043,5.1
2011,Shocking Pink!,6690,5.9
2012,妖狐×仆SS,3857,6.7
2014,金色琴弦 Blue♪Sky,7546,5.6
2011,少年正义联盟 第一季,763,7.7
2015,金田一少年事件簿R 2期,2309,7.1
2013,兄妹のジョウシキ,6519,5.3
2013,飞机总动员,4731,6.2
2010,真章 梦幻馆 Epilogue,7278,5.8
2010,MM一族！,5540,6.4
2015,红壳的潘多拉,4184,6.5
2011,名侦探柯南 vs Wooo,5721,5.8
2014,机动战士高达桑,4605,6.6
2011,幻想嘉年华 EX Season,1428,7.3
2016,悠哉日常大王 Repeat OAD,538,7.7
2015,圣斗士星矢 黄金魂 -soul of gold-,7220,5.8
2012,法外制裁者 OAD,6588,5.8
2011,神样DOLLS,3726,6.7
2012,史上最强弟子兼一 OAD,3318,6.7
2015,历·历史,5923,6.1
2014,玻璃之唇,8495,5.2
2015,偶像大师 灰姑娘女孩 第二季,1644,7.2
2013,宇宙战舰大和号2199 第五章「望乡的银河间空间」,909,7.6
2015,高温VS排斥,2842,6.8
2013,未来日记Redial,3198,6.8
2012,悪の女幹部 フルムーンナイト,7124,5.8
2013,跟班×服务,1363,7.3
2012,人类衰退之后,312,7.9
2014,圣斗士星矢 圣域传说,5135,6.4
2012,探险托里兰托,4918,6.1
2014,魔女的使命,3969,6.7
2012,绯色的欠片,8283,5.3
2014,科拉传奇 第四季：平衡,2490,7.0
2013,我的青春恋爱物语果然有问题 OVA,1921,7.1
2014,ALDNOAH.ZERO,3560,6.8
2012,最终痴汉电车NEXT,6147,6.2
2015,血界战线,1038,7.4
2014,盛宴,3048,6.8
2013,Arve Rezzle 机器化的妖精们,7039,5.9
2011,魔乳秘剑帖,7699,5.7
2013,和我一起来画吧：我爱你,4289,6.4
2015,逆転魔女裁判 ～痴女な魔女に裁かれちゃう～ THE ANIMATION,5223,6.4
2015,家有穆珂,3745,6.6
2011,歌牌情缘,240,8.0
2011,妻の母さゆり,8237,4.9
2015,机动战士高达 铁血的奥尔芬斯,3297,6.8
2015,洲崎西 THE ANIMATION,6505,6.1
2012,+模型姐妹,2282,7.1
2014,聖ブリュンヒルデ学園 少女騎士団と純白のパンティ 〜甲冑お嬢様の絶頂おもらし〜 THE ANIMATION,5565,6.3
2014,Happiness Charge 光之美少女！,7272,5.8
2010,一起洗澡吧,6275,5.7
2010,东方PVD,1452,7.3
2012,新网球王子OVA,4450,6.5
2013,D-spray 媚薬でモテモテ課長代理補佐,7469,5.6
2010,皆中！Part1,6829,5.7
2012,ストリンジェンド～エンジェルたちのプライベートレッスン～ コアMIX メガ盛り オカズですよ,2723,6.9
2015,第三飞行少女队,4710,6.5
2014,偶像大师 剧场版 向着光辉的彼岸！,251,8.0
2011,我叫MT 第五季,2601,7.0
2012,壳中少女 排气,1268,7.3
2011,玛利亚狂热 ALIVE,2078,7.1
2012,果宝特攻第二部,5513,6.3
2014,战国无双SP 真田之章,6960,5.5
2015,ALDNOAH.ZERO 第二季,8382,5.4
2010,真・恋姬无双～少女大乱～,4910,6.5
2014,猪猪侠之变身战队,8053,4.7
2011,火影忍者疾风传 剧场版 血狱,6716,6.1
2010,荒川爆笑团,825,7.5
2014,鬼灯的冷彻,1524,7.3
2013,有顶天家族,355,7.9
2013,JK与兽人军团 ～被恶豚鬼凌辱的圣女学园～,8662,4.6
2013,圣黑木耳学园援交日记,6050,6.2
2014,地球队长,6033,6.3
2013,Little Busters! 番外篇,2877,6.9
2010,和殿下一起 1分钟剧场,2098,7.1
2014,怪盗Joker,2073,7.1
2016,元气少女缘结神 新婚篇,1784,7.2
2015,苍穹之法芙娜 EXODUS 第2部分,366,7.9
2010,日与夜,2716,6.9
2010,红 Kurenai OVA,3546,6.7
2015,ふくびき!トライアングル～双葉はあたふた～♥～,7889,5.4
2011,真的存在！灵媒老师,3235,6.8
2012,妄想学生会 OVA,842,7.5
2010,義母散華,8572,4.5
2012,熊出没之环球大冒险,7797,5.2
2013,真・秘汤巡游,7910,5.5
2015,名侦探柯南 业火的向日葵,8702,4.8
2013,小恶魔女友,5408,6.3
2010,女仆咖啡厅,438,7.8
2016,耻辱的制服,6237,6.1
2011,剧场版 魔法老师涅吉！ANIME FINAL,5180,6.3
2010,游戏王剧场版 超融合！超越时空的羁绊,4279,6.6
2011,DOG DAYS,6182,6.2
2011,变态生理研究班,4540,6.6
2015,KOWABON,7619,5.7
2013,飙速宅男 OAD,3761,6.6
2013,女孩子真的也很色喔,6525,6.0
2010,一起睡觉吧,7316,5.4
2012,午後の紅潮 ～純愛メロウより～,7137,5.7
2015,心灵想要大声呼喊。,2860,6.9
2011,认真和我恋爱！！,7131,6.0
2014,科拉传奇 第三季：易,888,7.6
2012,幻想万华镜 泡沫、哀伤的桃源,1789,7.2
2016,游戏王 The Dark Side of Dimensions,1135,7.4
2014,当男孩遇到后宫,6475,6.1
2011,恶魔阿萨谢尔在召唤你,795,7.6
2014,法兰雀丝卡,7571,5.3
2015,黑执事 幽鬼城杀人事件篇,2335,7.1
2012,加速世界,3868,6.7
2013,恶之华,4761,6.6
2013,阳光中的青时雨,2522,7.0
2010,名侦探柯南 女子高中生侦探 铃木园子事件簿,5556,6.3
2011,铁拳：血之复仇,5722,6.2
2015,境界的彼方 -I'LL BE HERE- 未来篇,4191,6.6
2014,旋风管家 OAD,4629,6.5
2011,和殿下一起～眼罩之野心～,1434,7.3
2016,剧场版 吹响！悠风号～欢迎来到北宇治高中吹奏乐部～,572,7.7
2015,我老婆是学生会长,7236,6.0
2012,掉线神域,6598,6.0
2015,噬神者,5934,6.3
2011,青之驱魔师 小黑出走记,3728,6.7
2012,散华礼弥,3356,6.8
2013,言叶之庭,935,7.5
2014,桃剑,8528,5.0
2013,银河机攻队 庄严王子,3224,6.8
2013,女子落 OAD,1372,7.3
2014,虫奉行OVA,5147,6.2
2012,Phi-Brain～神之谜题2,4949,6.4
2012,探索者的目标,6151,6.0
2015,超神学院 第三季 神与神,5225,6.3
2013,限制级杀手,4307,6.6
2011,箱入少女-Virgin Territory-,8282,5.1
2012,JOJO的奇妙冒险,320,7.9
2014,机器人少女Z,2496,7.0
2014,火影忍者 剧场版 终章,3975,6.7
2012,大姐姐的口内解禁日,8347,5.0
2015,银魂 〜偶尔也会有钻进被子发现屁股没擦干净想睡也睡不着的时候〜,1668,7.2
2013,现视研 二代目 OAD,1943,7.2
2014,剧场版 进击的巨人 前篇～红莲的弓矢～,3071,6.9
2014,口唇之欲 ～御手洗先生家的事情～,3603,6.7
2013,未亡人日记,7117,5.8
2015,我的青春恋爱物语果然有问题 续,1114,7.4
2011,蛊惑之刻,7711,5.7
2015,西游记之大圣归来,3754,6.7
2014,龙娘七七七埋藏的宝藏,5568,6.4
2013,鬼父2 -复仇-,7479,5.8
2012,驯龙记：博克岛的骑手,2757,6.9
2013,姦染 Ball Buster The Animation,8760,3.7
2013,恋骑士,6065,6.2
2015,娘ワレモノ THE ANIMATION,7943,5.4
2011,小马宝莉：友谊就是魔法 第二季,329,7.9
2015,新妹魔王的契约者 OAD,6541,6.1
2015,阿薇尔与虚构世界,3298,6.7
2012,夏雪密会,2358,7.0
2015,アラルガンド The Animation,4743,6.5
2010,心灵侦探八云,6311,6.2
2010,我☆能行,6866,6.0
2012,开心宝贝之开心大冒险,4463,6.1
2010,剧场版 快要坏掉的八音盒,1458,7.3
2014,最近，妹妹的样子有点怪？ OAD,7299,5.9
2014,すぽコン！～SPORTS WEAR-COMPLEX～,6962,5.9
2011,昭和物语,2623,6.9
2012,监狱兔 第五季,1305,7.3
2012,精灵宝可梦 超级愿望 第2季,5525,6.3
2014,信长之枪,8056,5.4
2011,UN-GO,2100,7.1
2015,学園の生贄――慰み者と化した巨乳不良少女～白濁に侵される褐色&堕肉の狂宴～ THE ANIMATION,8403,4.6
2014,寄生兽 生命的准则,270,7.9
2010,大神与七位伙伴,5078,6.5
2010,RAINBOW 少年犯之七人,830,7.5
2014,Love Live! 第二季,1563,7.3
2013,美妙旋律 Rainbow Live,372,8.0
2013,神偷奶爸2,2888,6.9
2011,Reunion,6755,6.0
2010,复仇者：世上最强英雄组合 第一季,2131,7.1
2014,我家浴缸的二三事,6035,6.3
2014,麦兜·我和我妈妈,2113,7.1
2010,机动战士高达00 先驱者的觉醒,2748,6.9
2016,历物语,1785,7.2
2010,2010新西游记,3674,6.5
2010,太空历险记,8690,3.7
2013,麻雀酒店,7928,5.3
2013,撸时代,5410,6.3
2016,女皇之刃 魔法之书,6268,6.0
2013,幕末义人传 浪漫,6539,5.9
2012,千岁 Get you!!,7166,5.8
2014,姐姐的妄想日记OAD,6481,6.1
2015,鲁邦三世,367,7.9
2011,这个是僵尸吗？,3281,6.8
2012,宇宙战舰大和号2199 第三章「无尽的航海」,847,7.6
2012,名侦探柯南 第11位前锋,7798,5.7
2015,圣剑使的禁咒咏唱,8713,4.7
2010,正义联盟:两球危机,4294,6.3
2011,永远之久远 第六章 永远之永恒,5198,6.4
2010,魔术师,447,7.9
2011,迷茫管家与懦弱的我,4547,6.6
2015,えろまんが! Hもマンガもステップアップ♪♪,7632,5.6
2011,一骑当千 集锷斗士血风录,6243,6.0
2010,应避忌的狼,7345,5.7
2013,学生会的一己之见 Lv.2,3768,6.7
2015,OVERLORD,2869,6.9
2014,凭物语,924,7.5
2012,军火女王 PERFECT ORDER,1823,7.2
2011,水手服心疗妻科,7170,5.3
2016,鹬,1159,7.4
2011,向阳素描×SP,804,7.6
2014,目隐都市的演绎者,7623,5.8
2015,火影忍者 剧场版 博人传,2351,7.0
2013,Phi-Brain～神之谜题3,4828,6.4
2010,RIN×SEN～白濁女教師と野郎ども～,5645,6.3
2013,网球并不可笑嘛 3期,2527,7.0
2011,死囚乐园 OAD,5742,6.3
2011,只有神知道的世界II,1453,7.3
2015,小王子,4240,6.6
2014,我的脑内选项正在全力妨碍学园恋爱喜剧 OAD,4633,6.6
2012,听爸爸的话！,3872,6.7
2011,理欧 彩虹之门,8437,5.2
2012,柴犬子,8392,5.0
2014,Fate/kaleid liner 魔法少女☆伊莉雅 OAD,3608,6.7
2013,穿透幻影的太阳,7138,6.0
2011,COSPLAY露出研究会,7718,5.4
2013,新大头儿子和小头爸爸,8817,2.5
2013,机巧少女不会受伤,6079,6.3
2015,维纳斯计划 CLIMAX,7972,4.7
2015,牝教师4～被玷污的教坛～,7253,5.8
2016,只有我不存在的城市,583,7.7
2012,枪械少女,6601,6.1
2011,我们没有翅膀,3772,6.7
2015,熊出没之冬日乐翻天,5939,5.7
2012,通灵男孩诺曼,3359,6.7
2013,红白黑黄,973,7.5
2014,女系家族III～秘密HIMITSU卑蜜～ THE ANIME,8539,4.7
2013,黄金拼图,1400,7.3
2014,犬神同学和猫山同学,5154,6.5
2013,八犬传-东方八犬异闻-,3246,6.8
2012,ZETMAN,6174,6.2
2015,巴啦啦小魔仙之梦幻旋律,5278,6.2
2012,侦探歌剧 少女福尔摩斯 Alternative ONE,4957,6.4
2013,鬼畜  ～母姉妹調教日記～,4319,6.6
2014,少数人的晚餐,2536,7.0
2015,网球优等生 第二季,1672,7.3
2012,少年同盟 2,322,7.9
2013,人生Best Ten,1980,7.2
2014,波蕾特的椅子,3079,6.9
2013,猪猪侠之变身小英雄,7482,4.9
2014,江户川柯南失踪事件～史上最糟糕的两天～,4048,6.6
2015,阿松,1130,7.4
2012,谜样女友X,2773,6.9
2015,"Wake Up, Girls! 超越深限",3757,6.7
2011,星游记,343,7.9
2014,扶她部,5584,6.3
2015,浜虎SD,4745,6.1
2010,SD高达三国传,6885,5.9
2014,もう挟まずにはいられない ~星にお願いしたらこんなにおっきくなっちゃった!~,6982,5.8
2015,台风的诺尔达,8414,5.2
2011,少交女 THE ANIMATION,6761,5.9
2015,那年那兔那些事儿 第二季,6564,6.1
2015,Punch Line,3307,6.8
2012,电影 Smile 光之美少女！儿童图画书里的世界都不协调！,2373,7.0
2010,家庭教師のおねえさん2 THE ANIMATION～Hの偏差値あげちゃいます～,6330,6.1
2012,战国Collection,4495,6.6
2010,天降之物f,1461,7.3
2014,七人魔法使,7306,5.9
2011,里约大冒险,2681,7.0
2012,南家三姐妹 久候多时,1315,7.3
2012,黑魔女学园,5555,6.3
2014,デモニオン ～外伝～,8063,5.2
2011,青之驱魔师,2104,7.1
2010,变形金刚 领袖之证,848,7.6
2014,玉子爱情故事,299,7.9
2010,紧扣的星星,5080,6.5
2013,魁拔II 大战元泱界,2897,6.9
2013,小马宝莉：友谊就是魔法 第四季,378,7.9
2010,宫西达也剧场 你看起来很好吃,2152,7.1
2014,巴哈姆特之怒 GENESIS,1589,7.3
2014,黑执事 马戏团篇,2151,7.1
2014,情热传说～导师的黎明～,6053,6.2
2010,凌辱家庭餐馆 调教菜单,3729,6.7
2010,会长是女仆大人！,2752,6.9
2010,咎狗之血,8787,4.3
2016,失忆煽动WIXOSS,6269,6.2
2013,御宅英文！魔法少女小缎带 the TV,5413,6.2
2013,地狱幼稚园,7936,5.2
2016,女神异闻录3 剧场版 第四章 重生之冬,1798,7.2
2012,Starless,7177,5.8
2014,恋まぐわい ～忘却の妖狐～,6486,6.1
2013,初音岛III,6572,6.1
2015,斗技场的战姫～另一个故事～,7639,5.5
2011,ラブビッチ～優しい女…～,7184,5.7
2010,百花缭乱 SAMURAI GIRLS,5690,6.3
2011,R15,7720,5.8
2015,音乐少女,7300,5.8
2015,马男波杰克2,392,7.9
2011,猫和老鼠：绿野仙踪,3294,6.5
2012,坂道上的阿波罗,867,7.5
2010,×××HOLiC 笼,448,7.8
2010,龙珠 嗨！归来的孙悟空和同伴们！,4297,6.5
2015,枪神斯托拉塔斯,8729,4.6
2011,真・恋姬无双～少女大乱～ OVA,5202,6.3
2012,姦染5～The Daybreak～,7829,5.5
2011,苹果核战记XIII,4715,6.3
2011,火影忍者 特别篇 炎之中忍试验！鸣人VS木叶丸！！,6288,6.1
2010,少女戦機ソウルイーター,7354,5.5
2013,滑头鬼之孙 ～奴良组事始～,3774,6.7
2012,头文字D Fifth Stage,1864,7.2
2014,妄想学生会＊ OVA,932,7.5
2016,星之梦,1191,7.4
2015,"偶像大师 百万现场 ""Dreaming!"" 动画 PV",2871,6.8
2011,电影 光之美少女 All Stars DX3 传达到未来！连结世界☆彩虹之花！,824,7.6
2015,幻想万华镜 花之异变之章,2390,7.0
2014,恋乳ているず THE ANIMATION,7627,5.4
2011,航海王3D：追逐草帽大冒险,5748,6.3
2013,爱杀宝贝OVA,2531,7.0
2013,问题儿童都来自异世界？,4856,6.5
2011,剧场版 超时空要塞F 恋离飞翼,1464,7.3
2015,我是高宫茄乃,4268,6.6
2014,K 失落之王,4655,6.6
2012,老雷斯的故事,3899,6.3
2012,熊出没,8508,5.0
2011,高铁侠,8876,1.3
2014,乔瓦尼之岛,3615,6.7
2013,加速世界 Stage:02 -加速的顶点-,6081,6.3
2013,高铁英雄,8867,2.1
2013,对魔忍雪风,7144,5.9
2015,乱步奇谭 拉普拉斯的游戏,7985,5.7
2014,やりマン不動産 おすすめ物件はコ・チ・ラ ～女社長はいつも空室あり～,8554,4.5
2013,琴浦小姐,4334,6.6
2014,手冢治虫的佛陀～永无止境之旅～,5605,6.1
2014,绝灭危愚少女,6985,5.8
2011,R-15 R15少年漂流记,6807,6.0
2010,数码宝贝合体战争,6332,6.2
2016,疯狂动物城,595,7.7
2012,绯色的欠片 第二章,6627,5.8
2015,魔物娘的同居日常,5944,6.3
2012,天然萌少女明日香,3360,6.8
2013,玉响～more aggressive～,988,7.5
2011,战国☆天堂-极-,3787,6.5
2014,PANDRA 白き欲望 黒の希望 THE ANIMATION,5166,6.4
2013,航海王：黄金梅利号之章 另一位伙伴的故事,1433,7.3
2012,我的妹妹是「大阪大妈」,6181,6.2
2015,血型君3,5280,6.4
2013,黑子的篮球 第二季,3254,6.8
2012,母娘丼♥おっぱい特盛母乳汁だくで,4965,6.4
2014,电影 光之美少女 All Stars New Stage3 永远的朋友,2541,7.0
2015,四月是你的谎言 OAD,1677,7.2
2013,夜樱四重奏 月之泣,2018,7.1
2012,RWBY预告片,347,7.9
2013,斯特拉女子学院高等科C3部,7484,5.8
2014,哆啦A梦：新·大雄的大魔境~贝可与5人探险队~,3081,6.8
2014,战斗王之飓风战魂Ⅱ,4070,6.3
2012,这个是僵尸吗？OF THE DEAD,2808,6.9
2015,旋转少女,1138,7.4
2011,灵异E接触,375,7.8
2015,和歌子酒,3759,6.7
2015,纯洁的玛利亚,4748,6.5
2015,不能说的事情,8425,4.9
2015,进击的巨人 关西腔版,6576,5.6
2012,A频道+smile,2374,7.0
2010,小镇的陷阱～白浊玷污的肢体～,6897,5.9
2015,皮卡丘与精灵宝可梦乐队,3332,6.5
2012,这名男子，捡到了人鱼。,4520,6.6
2014,小花仙,8069,4.3
2010,死神 雨中的回忆,5095,6.3
2010,美猴王,3785,6.5
2012,苍蓝世界的中心,7196,5.8
2014,美少女战士Crystal,6506,6.1
2015,那种事 爱做的事,7657,5.5
2011,Phi-Brain～神之谜题,7187,5.9
2011,只有神知道的世界 四人与偶像,3324,6.8
2012,圣斗士星矢Ω,7849,5.6
2010,教育指導 The Animation,7407,5.4
2014,超级索尼子,7634,5.8
2011,上官海铃,2746,6.8
2010,蝙蝠侠：红头罩之下,1491,7.3
2012,恶魔阿萨谢尔在召唤你 路西法篇,1371,7.3
2014,锁链战记,7308,5.6
2012,恋爱与选举与巧克力,5558,6.4
2010,棒球大联盟 第六季,883,7.6
2013,偶像活动 第二年,2911,6.9
2014,月刊少女野崎君,403,7.8
2011,丹特丽安的书架,2105,7.1
2013,南方公园 第17季,383,7.9
2010,装甲骑兵 幻影篇,2161,7.1
2014,结城友奈是勇者,2153,7.1
2014,斩·赤红之瞳 小剧场,6091,6.1
2014,飙速宅男 GRANDE ROAD,1630,7.2
2010,雷锋的故事,8880,1.3
2010,Fate/stay night TV总集篇,2756,6.9
2013,绯色战姬,5424,6.4
2016,忘年会咕哒咕哒Order2016,6273,5.9
2013,IS〈无限斯特拉托斯〉第二季,7964,5.7
2016,信长的忍者,1836,7.2
2010,长江7号爱地球,5699,5.9
2013,先破处后NTR,6630,6.0
2011,激情海滩 ～南国乳辱摄影会～,7752,5.4
2015,电影 光之美少女 All Stars 春之嘉年华♪,7311,5.6
2015,希德尼娅的骑士 第九惑星战役,399,7.8
2010,夏娃的时间 剧场版,457,7.8
2010,文学少女 做梦少女的前奏曲,4300,6.6
2012,无敌破坏王,894,7.5
2015,枪与假面舞会,8737,4.5
2011,永远之久远 第二章 混沌的兰舞,5235,6.4
2011,死囚乐园,4741,6.6
2011,绯弹的亚里亚,6353,6.2
2013,暴走漫画,3831,6.4
2016,咱们裸熊 第二季,1196,7.4
2014,Little Busters! EX,940,7.5
2015,网球并不可笑嘛 6期,2874,6.9
2012,脆莓公园 第一季,1896,7.2
2011,花开伊吕波,827,7.5
2015,监狱兔 前传,2399,7.0
2013,理～你的心洒落的碎片～,7160,5.8
2013,超青春姐弟s,2533,7.0
2011,追逐繁星的孩子,5750,6.4
2013,黑白小姐,4938,6.5
2015,傲娇公主,4285,6.6
2012,零之使魔F,3954,6.7
2011,笨蛋，测验，召唤兽 ～祭～,1467,7.3
2014,漫研部～妄想突变～,4686,6.5
2012,痴汉许可证,8517,4.7
2013,刀剑神域 Extra Edition,6153,6.3
2014,金田一少年事件簿R,3634,6.7
2015,一万年以后,8046,4.3
2014,被这么温柔地对待了,8558,4.2
2014,三坪房间的侵略者！,5175,6.5
2012,超时空要塞FB7 银河流魂,4968,6.4
2011,IS OVA 渴望热恋的六重奏,6831,6.1
2014,乳色吐息,5650,6.3
2013,ザナルカンドにて,4336,6.4
2014,圣娼女,6992,5.9
2010,守护猫娘绯鞠,6405,6.2
2016,ReLIFE,618,7.6
2012,BRAVE10～真田十勇士～,6634,6.1
2015,恐龙当家,5966,5.7
2012,电影 光之美少女 All Stars New Stage 未来的朋友,3365,6.7
2011,游戏王ZEXAL,3801,6.7
2013,白色相簿2,1443,7.3
2012,名侦探柯南 传说中的球棒的奇迹,6216,6.1
2013,现视研 二代目,997,7.5
2015,告白实行委员会 我于此刻恋上你,5282,6.4
2014,十字路口,2579,7.0
2015,灰色的迷宫,1752,7.2
2013,死亡台球,2080,7.1
2012,南方公园 第16季,354,7.9
2013,救救草食系的我吧！,7486,5.8
2015,彗星路西法,8452,5.2
2010,寝取られファイター ヤリっちんぐ！,6973,5.8
2015,鬼父2 -收获-,7662,5.6
2013,魔界王子,6665,6.1
2013,机动战士高达AGE MEMORY OF EDEN,3278,6.8
2014,世嘉硬件女孩,4086,6.6
2012,天方魔谭MAGI,2841,6.9
2014,GJ部@,3100,6.9
2015,精液检查,3767,6.6
2011,战国鬼才传,386,7.9
2015,南方公园 第19季,1172,7.4
2015,东京喰种 PINTO,6639,6.1
2015,百变马丁,4766,6.2
2012,纯情罗曼史 OAD,2454,7.0
2015,小马宝莉：友谊大赛,3342,6.7
2010,透明人間R,7435,5.4
2012,荔枝DE光之俱乐部,7198,5.8
2010,初音岛I&II P.S.P. RE-ANIMATED OVA,5103,6.4
2014,东京ESP,8128,5.5
2012,天然萌少女明日香 OAD,4521,6.5
2010,学园默示录,3786,6.7
2014,魔弹之王与战姫,6535,6.2
2011,甜心格格,3367,6.8
2011,圣诞之吻SS OVA,2751,6.9
2011,心之国爱丽丝 剧场版,7211,5.5
2010,航海王：强者天下 前传,1504,7.3
2012,Smile 光之美少女！,1374,7.3
2014,临时女友,7660,5.7
2012,赛尔号第1季：雷伊传说,7852,5.3
2014,熊出没之夺宝熊兵,7317,5.7
2010,电影 Heart Catch 光之美少女！超级时尚秀在花之都...真的吗！？,886,7.5
2012,猪猪侠之囧囧危机,5560,5.8
2013,命运石之门 负荷领域的既视感,407,7.8
2013,神魄,2917,6.9
2014,希德尼娅的骑士,454,7.8
2011,灼眼的夏娜III -Final-,2129,7.1
2010,和殿下一起,2184,7.1
2014,樱Trick,2233,7.1
2014,中国惊奇先生,6093,6.2
2014,小马宝莉：彩虹摇滚,1658,7.3
2016,月歌,6278,6.1
2010,狂野情人,2819,6.9
2013,Music S.T.A.R.T!!,5428,6.4
2013,真实存在的人妻不伦告白 本村陶子的情况,7973,5.3
2010,火影忍者疾风传 剧场版 失落之塔,5700,6.3
2016,鲁邦三世 意大利游戏,1837,7.2
2011,妹天堂,7755,5.5
2013,学生会的一己之见 Lv.2 EX,3854,6.7
2013,純情少女エトセトラ,7174,5.6
2015,DD北斗神拳2 草莓味+,4324,6.2
2012,神秘之法,8869,1.8
2014,pupa,8595,5.1
2014,正义红师,5657,5.8
2013,血意少年 OAD,4380,6.6
2014,ヤバい! ―復讐・闇サイト―,7003,5.9
2010,南方公园 第14季,479,7.9
2015,尸者的帝国,7336,5.9
2015,终物语,464,7.7
2010,由土里酱,4316,6.5
2012,福音战士新剧场版：Q,904,7.5
2011,玩伴猫耳娘 OVA,5262,6.4
2015,空战魔导士候补生的教官,8741,4.6
2011,吸血猫,4749,6.5
2016,守望先锋：双龙,1231,7.4
2011,网球王子剧场版 英国庭球城决战！,6380,6.1
2015,出包日记~·金 动画版,2900,6.8
2014,头文字D Final Stage,963,7.5
2012,黑兽〜高傲的圣女被白浊玷污〜,1912,7.2
2015,怪物之子,2406,7.0
2013,Q弟侦探因幡,2534,7.0
2011,世界第一初恋2,861,7.5
2011,乐园之扉,5804,6.3
2013,精灵宝可梦 超梦 觉醒之路的序章,5001,6.3
2011,东方PVD2,1473,7.3
2012,拜托了 爱因兹贝伦咨询室,4019,6.7
2017,気に入った膣にいきなり中出しOKなリゾート島,6769,5.8
2014,偶像☆妹妹,4688,6.5
2013,デカくてエッチな俺の姉,6156,6.1
2014,漫画家和助手,3650,6.7
2015,舰队Collection,8047,5.6
2017,徒然喜欢你,2022,7.1
2012,轮回的拉格朗日,4988,6.5
2011,淫妖虫 悦 怪乐变化退魔录,6848,5.8
2014,"Wake Up, Girl Zoo!",5193,6.3
2013,零度战姬Vibration,7510,5.8
2015,故事少女穗乃花,7663,4.7
2010,情定惠比壽,6980,5.2
2015,元日,3826,6.6
2010,神隐之狼,7560,5.8
2012,枪械少女 OAD,5572,6.2
2010,B型H系,6425,6.2
2016,为美好的世界献上祝福！,637,7.6
2015,思念的碎片,5978,5.9
2012,罪恶王冠 失落的圣诞节 an episode of port town,6660,6.1
